,Unnamed: 0,refs,del_25,model_corrected
189,74913, the patient was diagnosed with gastric stromal tumor according to the clinical manifestations and imaging examination before the operation,the patient diagnosed with gastric stromal tumor according to the clinical manifestations and imaging examination before the,the patient was diagnosed with gastric stromal tumor according to the clinical manifestations and imaging examination before the operation
190,74914,the pathological examination of an intraoperative frozen sample confirmed the benign nature of the tumor while postoperative immunohistochemistry results indicate the presence of a ggt,the pathological of an intraoperative frozen sample confirmed the benign nature of the tumor while postoperative immunohistochemistry results indicate the presence of a ggt,the pathological examination of an intraoperative frozen sample confirmed the benign nature of the tumor while postoperative immunohistochemistry results indicate the presence of a ggt
191,74915,the postoperative histology revealed a tumor tissue composed of irregular blood vessels and glomus cells of same size with interstitial hyaline and mucoid degeneration,the postoperative histology revealed a tumor tissue composed of irregular blood vessels and glomus cells of size interstitial hyaline and mucoid degeneration,the postoperative histology revealed a tumor tissue composed of irregular blood vessels and glomus cells of small size interstitial hyaline and mucoid degeneration
192,74916,the tumor was completely removed by surgery,the tumor completely removed by surgery,the tumor was completely removed by surgery
193,74917, the patient recovered well and was discharged from the hospital,the patient recovered well was discharged from the hospital,the patient recovered well and was discharged from the hospital
194,74918,five months after the operation a normal gastric mucosa was observed by gastroscopic examination,five months after the operation a normal gastric mucosa was observed by gastroscopic examination,five months after the operation a normal gastric mucosa was observed by gastroscopic examination
195,74919, most of the ggts are benign lesions surgical resection is the preferred treatment and they result in a good prognosis,most of the ggts are lesions surgical resection is the preferred treatment and they result in a good prognosis,most of the ggts are lesions surgical resection is the preferred treatment and they result in a good prognosis
196,74920,however malignant ggt should be treated as soon as possible because of its metastatic potential and recurrence,however malignant ggt should be treated soon as possible because of metastatic potential and recurrence,however malignant ggt should be treated as soon as possible because of metastatic potential and recurrence
197,74921,adjuvant radiotherapy or chemotherapy might be useful after operation,radiotherapy or chemotherapy might be useful after operation,radiotherapy or chemotherapy might be useful after operation
198,74922,background  endoscopic sleeve gastroplasty  is a safe and effective minimally invasive bariatric procedure,background endoscopic sleeve gastroplasty is a safe and effective minimally invasive bariatric,background endoscopic sleeve gastroplasty  is a safe and effective minimally invasive bariatric procedure
199,74923,this study compared weight loss in patients undergoing esg with that of matched patients undergoing highintensity diet and lifestyle therapy ,study compared weight loss esg with that of matched undergoing highintensity diet therapy,study compared weight loss after esg with that of matched patients undergoing highintensity diet therapy
200,74924,esg appears to be a valuable alternative for patients who experience difficulty complying with hidlt,esg appears to be valuable alternative for patients who experience difficulty complying with hidlt,esg appears to be a valuable alternative for patients who experience difficulty complying with hidlt
201,74925,the main reasons for hospitalisation in the tertiary centre were gastrointestinal diseases diabetes mellitus and rheumatic diseases,the main reasons hospitalisation in the tertiary were diseases diabetes mellitus and rheumatic diseases,the main reasons for hospitalisation in the tertiary system were gastrointestinal diseases diabetes mellitus and rheumatic diseases
202,74926,however changes were not significantly different,however changes were not significantly different,however changes were not significantly different
203,74927,due to the far reaching consequences for patients doctors health insurance and politics the early diagnosis and treatment of malnutrition should take greater account in the future,due to the reaching consequences for patients doctors health insurance and politics the early diagnosis and treatment of malnutrition should take greater account future,due to the reaching consequences for patients doctors health insurance and politics the early diagnosis and treatment of malnutrition should take greater account for the future
204,74928,assessing the likelihood of shortterm morbidity is useful for both the bariatric surgeon and patient,assessing the likelihood of shortterm morbidity useful for both the bariatric surgeon and patient,assessing the likelihood of shortterm morbidity is useful for both the bariatric surgeon and patient
205,74929,artificial neural networks  are computational algorithms that use pattern recognition to predict outcomes providing a potentially more accurate and dynamic model relative to traditional multiple regression,networks are computational algorithms that use pattern recognition to predict outcomes providing a potentially more accurate and dynamic model relative to traditional multiple regression,networks are computational algorithms that use pattern recognition to predict outcomes providing a potentially more accurate and dynamic model relative to traditional multiple regression
206,74930,logistic regression and ann models were compared using area under receiveroperating characteristic curves ,logistic regression and ann models were compared using under receiveroperating characteristic curves,logistic regression and ann models were compared using under receiveroperating characteristic curves
207,74931,using an ann model prediction of these events can be optimized relative to standard logistic regression modeling,using an ann model prediction these events can be optimized relative to modeling,using an ann model prediction of these events can be optimized relative to modeling
208,74932,anorexia is a common cause of malnutrition and is associated with negative effects on the quality of life  for patients with cancer,anorexia is a common cause of malnutrition and is associated negative effects on the quality life for patients with cancer,anorexia is a common cause of malnutrition and is associated with negative effects on the quality of life for patients with cancer
209,74933,management of appetite is the key to improving both the qol and the prognosis for such patients,management is the key to improving both the qol and the prognosis for patients,management is the key to improving both the qol and the prognosis for patients
210,74934,yukgunjatang  is a traditional herbal medicine extensively prescribed in korea as a remedy for various gastrointestinal syndromes,yukgunjatang is a traditional herbal extensively prescribed in as a remedy for various gastrointestinal syndromes,yukgunjatang is a traditional herbal medicine extensively prescribed in children as a remedy for various gastrointestinal syndromes
211,74935,currently no standardized herbal medicine treatment exists for patients with cancer who are suffering from anorexia after surgery chemotherapy andor radiotherapy,currently no standardized medicine exists for patients with cancer who are suffering from anorexia after surgery chemotherapy andor radiotherapy,currently no standardized medicine exists for patients with cancer who are suffering from anorexia after surgery chemotherapy andor radiotherapy
212,74936,for that reason this study aims to examine the efficacy and the safety of using ygjt to treat anorexia in such patients and to establish whether or not ygjt can be recommended as the primary therapy,for that reason this study to examine the efficacy and the safety of using ygjt to treat anorexia in such and to establish whether or not ygjt can recommended as primary therapy,for that reason this study aimed to examine the efficacy and the safety of using ygjt to treat anorexia in such patients and to establish whether or not yrgjtt can be recommended as primary therapy
213,74937,the primary outcome of this study is the change in the score on the anorexiacachexia subscale  of the functional assessment of anorexiacachexia therapy ,the primary outcome of this study is the change in the anorexiacachexia subscale of the functional assessment of anorexiacachexia therapy,the primary outcome of this study is the change in the anorexiacachexia subscale of the functional assessment of anorxicachex therapy
214,74938,all variables related to the safety assessment such as vital signs electrocardiography results laboratory test results  and adverse events will be documented on the case report form  at every visit,all variables to safety assessment such vital signs electrocardiography results laboratory test results and adverse events will be documented on the report form at every visit,all variables related to safety assessment such as vital signs electrocardiography results laboratory test results and adverse events will be documented on the report form at every visit
215,74939,this study is the first randomized controlled trial to investigate the efficacy and the safety of using ygjt for treating patients with cancerrelated anorexia in korea,this study the first randomized controlled trial to investigate the efficacy and the safety of using ygjt for patients with cancerrelated anorexia in korea,this study is the first randomized controlled trial to investigate the efficacy and the safety of using ygjt for patients with cancerrelated anorexia in korea
216,74940,we designed this study based on previous research about ygjt,we designed this study based on previous research about,we designed this study based on previous research about obesity
217,74941,this study will serve as a pilot and provide data for planning further clinical trials on herbal medicine and cancerrelated anorexia,this study will serve as a pilot and provide data for planning further clinical trials on medicine and cancerrelated anorexia,this study will serve as a pilot and provide data for planning further clinical trials on medicine and cancerrelated anorexia
218,74942,clinical characteristics and prognosis of patients with a solitary peutzjeghers polyp  have not been fully investigated,clinical characteristics and prognosis of patients with a solitary polyp have not been fully investigated,clinical characteristics and prognosis of patients with a solitary polyp have not been fully investigated
219,74943,solitary pjp was diagnosed when a single hamartomatous lesion was identified in the gastrointestinal tract of patients without mucocutaneous pigmentation or a family history of peutzjeghers syndrome,solitary pjp was diagnosed when a single hamartomatous lesion was identified in the gastrointestinal tract of patients without mucocutaneous pigmentation or a family history of peutzjeghers syndrome,solitary pjp was diagnosed when a single hamartomatous lesion was identified in the gastrointestinal tract of patients without mucocutaneous pigmentation or a family history of peutzjeghers syndrome
220,74944,the polyp was found in the duodenum  solitary pjps did not recur in this study,the polyp was found in the duodenum solitary pjps did not recur in this study,the polyp was found in the duodenum solitary pjps did not recur in this study
221,74945,although examination of the entire gastrointestinal tract using esophagogastroduodenoscopy enteroscopy and colonoscopy is desirable to exclude peutzjeghers syndrome followup endoscopy after endoscopic polyp resection may be unnecessary once the diagnosis of a solitary pjp is made,although examination of gastrointestinal tract using esophagogastroduodenoscopy enteroscopy and colonoscopy desirable to exclude peutzjeghers syndrome followup endoscopy after endoscopic polyp may be unnecessary the diagnosis of a solitary pjp is made,although examination of gastrointestinal tract using esophagogastroduodenoscopy enteroscopies and colonoscopic are desirable to exclude peutzjeghers syndrome followup endoscopes after endoscopic polyp may be unnecessary when the diagnosis of a solitary pjp is made
222,74946,the aim of this study was to investigate the correlation between histopathologic findings detected in laparoscopic sleeve gastrectomy  specimens and excess weight loss percentages  and excess bmi decrease percentages ,aim of this study was investigate the correlation between histopathologic findings detected in laparoscopic sleeve gastrectomy specimens excess weight loss percentages and excess bmi decrease,aim of this study was to investigate the correlation between histopathologic findings detected in laparoscopic sleeve gastrectomy specimens excess weight loss percentages and excess bmi decrease
223,74947,clinical and pathologic data of the cases were obtained from the automation system of the hospital,clinical and pathologic data of cases were obtained from the automation system of the hospital,clinical and pathologic data of cases were obtained from the automation system of the hospital
224,74948,age baseline bmi and active gastritis incidence in histopathologic analysis have a negative effect on weight loss,age baseline bmi and active gastritis incidence in histopathologic analysis have negative on weight loss,age baseline bmi and active gastritis incidence in histopathologic analysis have been negative on weight loss
225,74949,a correlation of histopathologic changes in morbid obese patients with weight loss after bariatric surgery was asserted in this study,a correlation of histopathologic changes in morbid obese with weight loss after bariatric surgery was asserted in this study,a correlation of histopathologic changes in morbid obese patients with weight loss after bariatric surgery was asserted in this study
226,74950,operating on younger patients with lower bmi and inactive gastritis with the lsg method could contribute to achieving more successful results,on younger patients with lower bmi and inactive gastritis with the lsg method could contribute to achieving more successful results,on younger patients with lower bmi and inactive gastritis with the lsg method could contribute to achieving more successful results
227,74951,prospective research studies are necessary within this context,prospective research studies are necessary within context,prospective research studies are necessary within this context
228,74952,perform a prospective study based on sequential clinical endoscopic and histologic evaluations of the foregut late after laparoscopic sleeve gastrectomy  in obese patients,perform prospective study based on sequential clinical and evaluations of the foregut late after sleeve in,perform a prospective study based on sequential clinical and endoscopic evaluations of the foregut late after sleeve gastrectomy in children
229,74953,after lsg several studies have suggested an increase in the incidence of clinical gastroesophageal reflux  while others have reported an improvement but based mainly on clinical questionnaires,after lsg several studies have suggested an increase in the incidence of clinical reflux while others have reported an but based mainly on clinical questionnaires,after lsg several studies have suggested an increase in the incidence of clinical reflux while others have reported an improvement but based mainly on clinical questionnaires
230,74954,several postoperative endoscopic and histologic evaluations of the esophagogastric junction  and the gastric tube  were performed and correlated with symptomatic findings,several postoperative endoscopic and histologic evaluations of the esophagogastric junction and the gastric tube were performed and correlated with symptomatic findings,several postoperative endoscopic and histologic evaluations of the esophagogastric junction and the gastric tube were performed and correlated with symptomatic findings
231,74955,according to clinical preoperative findings patients were divided into nonrefluxers  and refluxers ,according to clinical preoperative findings patients were divided into nonrefluxers and refluxers,according to clinical preoperative findings patients were divided into nonrefluxers  and refluxer 
232,74956,endoscopic evaluations showed progressive deterioration of the egj in group i with the development of erosive esophagitis  hiatal hernia  and dilated cardia in a large proportion of them,endoscopic evaluations showed progressive deterioration of the egj in group i with the development of erosive esophagitis hiatal and dilated cardia in a large proportion of them,endoscopic evaluations showed progressive deterioration of the egj in group i with the development of erosive esophagitis hiatal hernia and dilated cardia in a large proportion of them
233,74957,patients submitted to lsg showed a significant and progressive increase in the presence of  de novo  gerd,patients submitted lsg showed a significant and progressive increase in the presence novo,patients submitted to lsg showed a significant and progressive increase in the presence of novo
234,74958,also an increased duodenogastric reflux was seen through an open and immobile pylorus,also an increased duodenogastric reflux was seen through an open and immobile pylorus,also an increased duodenogastric reflux was seen through an open and immobile pylorus
235,74959,therefore based on these results it seems like lsg is a  proreflux  surgical procedure which should be continuously evaluated late after surgery,therefore based on these results it seems like lsg is a proreflux surgical procedure which should be continuously evaluated late after surgery,lsg is a proreflux surgical procedure which should be continuously evaluated late after surgery
236,74960,the patient was instructed to return to the hospital for further evaluation of the aaa and emergent ureteral stent placement,patient was instructed to return to the hospital for further evaluation of the aaa emergent stent placement,patient was instructed to return to the hospital for further evaluation of the aaa and emergent stent placement
237,74961,during the preanesthetic examination the patient revealed he had eaten a small amount of food before returning to the hospital placing him at increased risk of pulmonary aspiration,during the preanesthetic examination the patient revealed he had eaten a small amount of food before returning to the hospital placing him at increased risk of pulmonary aspiration,during the preanesthetic examination the patient revealed he had eaten a small amount of food before returning to the hospital placing him at increased risk of pulmonary aspiration
238,74962,traditional fasting times would have warranted either a delay in starting the case or performing it under general anesthesia with an endotracheal tube both at increased risk to the patient,traditional fasting would have warranted either a delay in starting the case it under general anesthesia with an endotracheal tube both at risk to the patient,traditional fasting would have warranted either a delay in starting the case or it under general anesthesia with an endotracheal tube both at risk to the patient
239,74963,instead a pointofcare ultrasound gastric study was performed at the bedside to assess for gastric contents which revealed the stomach was empty,instead a pointofcare ultrasound gastric study was performed at the bedside to for contents which revealed stomach empty,instead a pointofcare ultrasound gastric study was performed at the bedside to assess for gastroduodenal contents which revealed the stomach empty
240,74964,the case proceeded under monitored anesthesia care without incident,the case under monitored anesthesia care without incident,the case was under monitored anesthesia care without incident
241,74965,a metallic stent was successfully employed correcting the hydronephrosis and allowing for further evaluation and treatment of the aaa,a metallic stent was successfully employed correcting the hydronephrosis and allowing for further evaluation and treatment the aaa,a metallic stent was successfully employed correcting the hydronephrosis and allowing for further evaluation and treatment of the aaa
242,74966,abdominal recurrences of gastrointestinal malignancies are common,abdominal recurrences of gastrointestinal malignancies are common,abdominal recurrences of gastrointestinal malignancies are common
243,74967,evidence in clinical studies has shown that reirradiation  is tolerable and efficient in different tumor locations,evidence in clinical studies shown that reirradiation is tolerable and efficient in different tumor locations,evidence in clinical studies has shown that reirradiation is tolerable and efficient in different tumor locations
244,74968,in contrast little clinical data are available on normal longterm re‑i tolerance doses,in contrast little are available on normal longterm re‑i tolerance doses,in contrast little data are available on normal longterm re‑i tolerance doses
245,74969,a systematic review of upper abdominal re‑i was performed with the aim of exploring the cumulative dose toxicity and outcomes,a systematic review of upper abdominal re‑i was performed aim of exploring the cumulative dose toxicity and outcomes,a systematic review of upper abdominal re‑i was performed with the aim of exploring the cumulative dose toxicity and outcomes
246,74970,a computerized search was undertaken in medline embase ovid and the cochrane database,a computerized search undertaken in embase ovid and the cochrane database,a computerized search was undertaken in embase ovid and the cochrane database
247,74971,only studies reporting toxicity andor outcomes were taken into consideration,only studies reporting toxicity andor outcomes taken into consideration,only studies reporting toxicity andor outcomes were taken into consideration
248,74972,hypocomplementemic urticarial vasculitis syndrome  is a small vessel vasculitis characterized by hypocomplementemia and urticarialike exanthema,hypocomplementemic urticarial vasculitis a small vessel vasculitis characterized by hypocomplementemia urticarialike exanthema,hypocomplementemic urticarial vasculitis is a small vessel vasulitis characterized by hypocomplementemia urtarialike exanthema
249,74973,some cases also display abdominal pain and membranoproliferative glomerulonephritis  with immune complex deposits,some cases also display pain membranoproliferative glomerulonephritis with immune complex deposits,some cases also display pain membranoproliferative glomerulonephritis with immune complex deposits
250,74974,we treated a case of huvs with biopsyproven gastrointestinal vasculitis and atypical histological findings in a kidney biopsy,we treated a case huvs with biopsyproven vasculitis and atypical histological findings a kidney biopsy,we treated a case of huvs with biopsyproven vasculitis and atypical histological findings from a kidney biopsied
251,74975,on admission the skin lesion was found to be only pigmentation showing no vasculitis by skin biopsy,on admission the skin lesion was found to be only pigmentation showing no vasculitis by skin biopsy,on admission the skin lesion was found to be only pigmentation showing no vasculitis by skin biopsy
252,74976,in laboratory findings renal dysfunction with hematuria and proteinuria and hypocomplementemia were observed,in laboratory findings renal dysfunction with hematuria and proteinuria and hypocomplementemia were,in laboratory findings renal dysfunction with hematuria and proteinuria and hypocomplementemia were observed
253,74977,gastrointestinal vasculitis was proven by endoscopy and biopsy of the mucosa,gastrointestinal vasculitis was proven by endoscopy and biopsy of the mucosa,gastrointestinal vasculitis was proven by endoscopy and biopsy of the mucosa
254,74978,kidney biopsy revealed mpgn with crescents,kidney biopsy revealed mpgn with crescents,kidney biopsy revealed mpgn with crescents
255,74979,no immune complex deposits were observed by immunofluorescence or electron microscopy,no immune complex deposits observed by immunofluorescence electron microscopy,no immune complex deposits were observed by immunofluorescence electron microscopy
256,74980,the patient was diagnosed with huvs and treated with corticosteroids and plasma exchange,the patient was diagnosed with huvs and treated with corticosteroids and plasma,the patient was diagnosed with huvs and treated with corticosteroids and plasma
257,74981,although renal function and gastrointestinal vasculitis partially improved infectious pneumonia frequently recurred,although renal and gastrointestinal vasculitis partially improved infectious frequently recurred,although renal and gastrointestinal vasculitis partially improved infectious symptoms frequently recurred
258,74982,his renal dysfunction began to progress again and reached endstage kidney disease,renal dysfunction to progress again and reached endstage kidney disease,renal dysfunction failed to progress again and reached endstage kidney disease
259,74983,this is the first case of huvs with biopsyproven gastrointestinal vasculitis and mpgn without immune complex deposits,this is the first case of huvs with biopsyproven gastrointestinal vasculitis and mpgn without immune complex deposits,this is the first case of huvs with biopsyproven gastrointestinal vasculitis and mpgn without immune complex deposits
260,74984,the human intestine and its resident microbiota are known to play an essential role in the pathogenesis of primary obesity,the human intestine and resident microbiota are known to play an essential role in the of primary obesity,the human intestine and resident microbiota are known to play an essential role in the pathogenesis of primary obesity
261,74985,however a little is known of the gut microbiota profiles in individuals with obesity induced by glucocorticoid  therapy,however a little is known of the gut microbiota profiles individuals with obesity by glucocorticoid therapy,however a little is known of the gut microbiota profiles in individuals with obesity treated by glucocorticoid therapy
262,74986,gas chromatography was also used to measure levels of shortchain fatty acids  a subset of key gut microbial metabolites mainly produced by bacteroidetes,gas chromatography was also to measure levels shortchain fatty acids a subset of key gut microbial metabolites mainly produced by bacteroidetes,gas chromatography was also performed to measure levels of shortchain fatty acids a subset of key gut microbial metabolites mainly produced by bacteroidetes
263,74987,we found dramatically decreased gut microbial diversity in individuals with gcinduced obesity,we found dramatically decreased gut microbial diversity in individuals with gcinduced obesity,we found dramatically decreased gut microbial diversity in individuals with gcinduced obesity
264,74988,in addition the bacterial communities of the gcinduced obesity group were enriched in firmicutes  and depleted in bacteroidetes,in the communities of the obesity were enriched in firmicutes and depleted in bacteroidetes,in the communities of the obesity patients were enriched in firmicutes and depleted in bacteroidetes
265,74989,furthermore scfa content was decreased in gcinduced obesity status,furthermore scfa content was decreased in gcinduced obesity status,furthermore scfa content was decreased in gcinduced obesity status
266,74990,concomitantly the level of scfas was also detected in those study participants,concomitantly the level of scfas was also detected in those study participants,concomitantly the level of scfas was also detected in those study participants
267,74991,purpose  this article summarizes recent literature concerning vitamin deficiency and required supplementation postbariatric surgery focusing on vitamin d  and on the potential implication of the gut microbiota,purpose this summarizes recent literature concerning vitamin and required supplementation postbariatric surgery on vitamin d and on the potential implication of the gut microbiota,purpose  this article summarizes recent literature concerning vitamin and protein required supplementation postbariatric surgery on vitamin d and on the potential implication of the gut microbiota
268,74992, bariatric surgery induces weight loss and metabolic improvements yet with major interindividual variability,bariatric surgery induces weight loss and metabolic improvements yet major interindividual variability,bariatric surgery induces weight loss and metabolic improvements yet major interindividual variability
269,74993,if it is efficient in most patients some display poor response ie,if it is efficient in most patients some display poor response ie,if it is efficient in most patients some display poor response ie
270,74994,despite systematic vitamin supplementation some patients develop vitamin deficiencies leading to poor clinical outcomes among which vitamin d deficiency associated with observed bone mass loss and fractures,despite vitamin some patients vitamin leading to poor clinical outcomes among which vitamin d deficiency associated with observed bone mass loss and fractures,despite vitamin k some patients are vitamin deficient leading to poor clinical outcomes among which vitamin d deficiency is associated with observed bone mass loss and fractures
271,74995,recent mechanistic studies led to understand better the involved physiopathology,recent mechanistic studies led to understand better involved physiopathology,recent mechanistic studies led to understand better involved physiopathology
272,74996,furthermore different intervention studies tested on top of bariatric surgery  have evaluated whether nutritional adverse outcomes could be improved,furthermore different intervention studies tested on top of surgery evaluated whether nutritional outcomes could be improved,furthermore different intervention studies tested on top of surgery evaluated whether nutritional outcomes could be improved
273,74997,importantly gut microbiota involved in food digestion and metabolization and vitamin synthesis is largely perturbed during severe obesity and is partially restored postsurgery yet again with large interindividual variability,importantly gut microbiota involved in food digestion and metabolization and vitamin synthesis is largely perturbed during severe obesity and is partially restored postsurgery yet again with large interindividual variability,importantly gut microbiota involved in food digestion and metabolization and vitamin synthesis is largely perturbed during severe obesity and is partially restored postsurgery yet again with large interindividual variability
274,74998,whether differential gut microbiota modification could be associated with vitamin deficiencies is an open question,whether differential gut modification be associated with vitamin deficiencies is an open question,whether differential gut modification may be associated with vitamin deficiencies is an open question
275,74999, future clinical research studies will need to evaluate whether addon intervention to bariatric surgery using vitamin diet or specific food items could help prevent nutritional deficiencies and improve clinical response observed postsurgery,future clinical research studies will need to whether addon intervention to surgery using vitamin diet or specific food items could help prevent nutritional deficiencies and improve clinical response observed postsurgery,future clinical research studies will need to determine whether addon intervention to surgery using vitamin diet or specific food items could help prevent nutritional deficiencies and improve clinical response observed postsurgery
276,75000,importantly personalizing the addon intervention postsurgery upon gut microbiota composition should be tested in predicted poorresponders to surgery as already performed during diet intervention to further improve metabolic health,importantly personalizing the addon intervention upon gut microbiota be tested in predicted poorresponders to surgery as performed during diet intervention further improve metabolic health,importantly personalizing the addon intervention upon gut microbiota should be tested in predicted poorresponders to surgery as performed during diet intervention to further improve metabolic health
277,75001,obesity and diabetes are reaching epidemic levels globally,obesity and are reaching epidemic levels globally,obesity and obesity are reaching epidemic levels globally
278,75002,metagenomics and microbiome science have recently emerged as new tools for studying common complex human diseases,metagenomics and microbiome science have recently emerged as new tools for common human diseases,metagenomics and microbiome science have recently emerged as new tools for diagnosing common human diseases
279,75003,we report in this study notable differences in gut microbiome in adult patients with obesity and diabetes in egypt,we report in this study notable differences in gut microbiome adult patients with obesity and diabetes in egypt,we report in this study notable differences in gut microbiome in adult patients with obesity and diabetes in egypt
280,75004,the experimental design was based on comparisons of four study groups  controls  with a normal body mass index without obesity or diabetes  obese adults  without diabetes  adults with diabetes  who are not obese and  adults who are both obese and diabetic ,the experimental design was based on comparisons of four study groups controls with a normal body mass index without obesity or diabetes obese adults without diabetes adults with diabetes who are not and adults who are both obese and diabetic,the experimental design was based on comparisons of four study groups controls with a normal body mass index without obesity or diabetes obese adults without diabetes adults with diabetes who are not and adults who is both obese and diabetic
281,75005,alpha diversity analysis revealed greater diversity in bacterial communities of  than controls,alpha diversity analysis revealed greater diversity bacterial communities of than controls,alpha diversity analysis revealed greater diversity in bacterial communities of patients than controls
282,75006,despite sleeve gastrectomy becoming the most common surgical weight loss procedure weight loss mechanisms remain less clear,despite sleeve gastrectomy the most common surgical weight loss procedure weight loss mechanisms remain less,despite sleeve gastrectomy being the most common surgical weight loss procedure weightloss mechanisms remain less
283,75007,gip did not significantly change ,gip did not significantly change,gip did not significantly change
284,75008,fasting gip levels remained unchanged,fasting gip levels remained unchanged,fasting gip levels remained unchanged
285,75009,future studies are needed to assess the role of these gut hormones and relationship to weight loss and metabolic outcomes,future studies are needed to assess the role of these gut hormones and relationship to weight loss outcomes,future studies are needed to assess the role of these gut hormones and their relationship to weight loss outcomes
286,75010,to define  best possible  outcomes for bariatric surgery ,to define best possible outcomes for bariatric surgery,to define best possible outcomes for bariatric surgery
287,75011,reference values for optimal surgical outcomes in welldefined lowrisk bariatric patients have not been established so far,reference values for optimal surgical outcomes in welldefined lowrisk bariatric patients have not been so far,reference values for optimal surgical outcomes in welldefined lowrisk bariatric patients have not been established so far
288,75012,consequently outcome comparison across centers and over time is impeded by heterogeneity in casemix,consequently comparison across centers and over time is impeded by heterogeneity in casemix,consequently comparison across centers and over time is impeded by heterogeneity in casemix
289,75013,we chose clinically relevant endpoints covering the intra and postoperative course,chose clinically relevant endpoints covering the intra and,chose clinically relevant endpoints covering the intra and postoperative period
290,75014,complications were graded by severity using the comprehensive complication index,complications were graded by severity using the comprehensive complication index,complications were graded by severity using the comprehensive complication index
291,75015,bariatric surgery  may result in adverse outcomes that include appearance of gastrointestinal  symptoms andor failure to reach the weight reduction goal,bariatric surgery may result in adverse outcomes that include appearance of gastrointestinal symptoms andor failure to reach reduction goal,bariatric surgery may result in adverse outcomes that include appearance of gastrointestinal symptoms andor failure to reach the reduction goal
292,75016,all had shortterm  and longterm  followup with review of symptoms physical and laboratory examinations,all had and longterm followup with review of symptoms and laboratory examinations,all patients had short and longterm followup with review of symptoms and laboratory examinations
293,75017,chisquare analysis was performed,chisquare analysis was performed,chisquare analysis was performed
294,75018,there was no significant difference between preop ge results and postsurgical adverse clinical outcome ,there was no significant difference between preop ge results and postsurgical adverse outcome,there was no significant difference between preop ge results and postsurgical adverse outcome
295,75019,however ges results seem to have guided the selection of surgical procedure significantly preoperative ge study was not a strong predictor of clinical outcome in bas,however ges results seem to have guided the selection of surgical procedure significantly preoperative ge study was not a strong predictor of clinical in bas,however ges results seem to have guided the selection of surgical procedure significantly preoperative ge study was not a strong predictor of clinical outcome in bas
296,75020,although it influenced the type of surgery as when the ges was abnormal the patient was more likely to undergo rey and when ges was normal they favored lsg,although it the as the ges was abnormal the was more likely undergo and when ges was normal they favored lsg,although it was the case as the ges was abnormal the patients was more likely to undergo lsg and when gees was normal they favored lsgs
297,75021,the patients with colorectal cancer in chinese population are increasing which is a serious threat to human life and health,the patients with colorectal cancer in chinese are increasing which is serious threat human life and health,the patients with colorectal cancer in chinese are increasing which is a serious threat to human life and health
298,75022,in order to improve the high incidence high mortality and low early diagnosis rate of colorectal cancer and promote cancer screening program in china leading by the national clinical research center for digestive disease  relying on gastrointestinalcancer prevention  treatment center alliance in conjunction with a number of related societies we organized multidisciplinary experts including gastroenterology digestive endoscopy oncology health management and endoscopic quality control to jointly develop this consensus,in improve the incidence high and early diagnosis rate of colorectal cancer and promote cancer screening program in china leading by the national clinical research for digestive disease relying on prevention treatment center alliance conjunction with a number of related societies we multidisciplinary experts including gastroenterology digestive endoscopy oncology health and endoscopic control to jointly develop this consensus,in order to improve the incidence high and early diagnosis rate of colorectal cancer and promote a cancer screening program in china leading by the national clinical research center for digestive disease relying on prevention treatment center alliance in conjunction with a number of related societies we asked multidisciplinary experts including gastroenterology digestive endoscopy oncology health and endoscopic control to jointly develop this consensus
299,75023,this consensus aims to establish and refine early colorectal cancer screening protocol adapting to our national conditions and guide the screening practice,this consensus aims to establish and refine early colorectal cancer screening protocol adapting to our and guide the screening practice,this consensus aims to establish and refine an early colorectal cancer screening protocol adapting to our experience and guide the screening practice
300,75024,to explore the therapeutic effect of fecal microbiota transplantation  for severe psoriasis,to explore effect of fecal microbiota transplantation for psoriasis,to explore the effect of fecal microbiota transplantation for psoriasis
301,75025,the following items were used to evaluate responses body surface area  psoriasis area and severity index  dermatology life quality index  histological examination intestinal symptoms adverse reactions and serum level of tumor necrosis factor α,the following items were used to body surface area psoriasis and severity index dermatology life quality index histological examination intestinal symptoms reactions and serum level of tumor necrosis factor α,the following items were used to evaluate body surface area psoriasis and severity index dermatology life quality index histological examination intestinal symptoms reactions and serum level of tumor necrosis factor α
302,75026,moreover ibs was completely relieved and no adverse reactions were observed during the treatment and followup,moreover ibs completely relieved and no adverse reactions were observed during the treatment followup,moreover ibs was completely relieved and no adverse reactions were observed during the treatment followup
303,75027,in conclusion fmt could be a novel therapy for psoriasis,in conclusion fmt could be a novel therapy for psoriasis,in conclusion fmt could be a novel therapy for psoriasis
304,75028,further clinical trials are needed to provide solid evidences,further clinical trials are needed to provide solid evidences,further clinical trials are needed to provide solid evidences
305,75029,unsuspected pulmonary embolism  has been increasingly diagnosed as an incidental finding on ct scans for routine staging in cancer patients,unsuspected pulmonary embolism has been increasingly diagnosed as an finding on ct scans for routine staging in cancer patients,unsuspected pulmonary embolism has been increasingly diagnosed as an incidental finding on ct scans for routine staging in cancer patients
306,75030,previous studies suggest that obesity is an independent risk factor for venous thromboembolism in patients with malignant tumors,previous studies suggest that obesity is an independent risk for venous thromboembolism in patients with malignant tumors,previous studies suggest that obesity is an independent risk factor for venous thromboembolism in patients with malignant tumors
